Seed_Zone,Lot_Name,Total_Inventory,Inventory Unit,Total Inventory (Adjusted for Summation),Sales Price per lb ($),Species,Collection Area,Elevation,Current Germ Test Results,Storage Location,Common_Name,Species Code
631,Douglas Fir 631-30 SR21011,0.00,lb,0.00,$0.00,Pseudotsuga menziesii,,3000,,SilvaSeed Freezer,Douglas Fir,PSME
631,Douglas Fir 631-35 SB21049,15.00,lb,15.00,$200.00,Pseudotsuga menziesii,,3500,,SilvaSeed Freezer,Douglas Fir,PSME
631,Douglas Fir 631-65 SB17014,14.76,lb,14.76,$175.00,Pseudotsuga menziesii,"Cle Elum, Washington",3500,93/94 2018,SilvaSeed Freezer,Douglas Fir,PSME
631,Ponderosa Pine 631-25 SB21050,50.00,lb,50.00,$150.00,Pinus ponderosa,,2500,,SilvaSeed Freezer,Ponderosa Pine,PIPO
652,Douglas Fir 652-25 SR21016,0.00,lb,0.00,$0.00,Pseudotsuga menziesii,,2500,,SilvaSeed Freezer,Douglas Fir,PSME
652,Grand Fir 652-25 SR07065,4.00,lb,4.00,$110.00,Abies grandis,"Trout Lake, Washington",2500,45/40 2019,SilvaSeed Freezer,Grand Fir,ABGR
652,Grand Fir 652-25 SR16068A,7.19,lb,7.19,$110.00,Abies grandis,"Trout Lake North, Washington",2500,,SilvaSeed Freezer,Grand Fir,ABGR
652,Grand Fir 652-25 SR18027,1.90,lb,1.90,$110.00,Abies grandis,"Trout Lake North, Washington",2500,46/54 2019,SilvaSeed Freezer,Grand Fir,ABGR
652,Ponderosa Pine 652-25 SR21006,0.00,lb,0.00,$150.00,Pinus ponderosa,,2500,,SilvaSeed Freezer,Ponderosa Pine,PIPO
672,Ponderosa Pine 672/2 SB21182,237.90,lb,237.90,$150.00,Pinus ponderosa,"Ochoco, Oregon",4000,85% 2021,SilvaSeed Freezer,Ponderosa Pine,PIPO
672,Ponderosa Pine 672/3 SB21181,24.10,lb,24.10,$150.00,Pinus ponderosa,"Ochoco, Oregon",3200,82% 2021,SilvaSeed Freezer,Ponderosa Pine,PIPO
672,Ponderosa Pine 672/3-35 SB21180,22.79,lb,22.79,$150.00,Pinus ponderosa,"Ochoco, Oregon",3500,,SilvaSeed Freezer,Ponderosa Pine,PIPO
673,Ponderosa Pine 672/2 SB21182,237.90,lb,0.00,$150.00,Pinus ponderosa,"Ochoco, Oregon",4000,85% 2021,SilvaSeed Freezer,Ponderosa Pine,PIPO
673,Ponderosa Pine 672/3 SB21181,24.10,lb,0.00,$150.00,Pinus ponderosa,"Ochoco, Oregon",3200,82% 2021,SilvaSeed Freezer,Ponderosa Pine,PIPO
673,Ponderosa Pine 672/3-35 SB21180,22.79,lb,0.00,$150.00,Pinus ponderosa,"Ochoco, Oregon",3500,,SilvaSeed Freezer,Ponderosa Pine,PIPO
673,Ponderosa Pine 673-40 SB21183,98.48,lb,98.48,$150.00,Pinus ponderosa,Oregon,4000,,SilvaSeed Freezer,Ponderosa Pine,PIPO
674,Ponderosa Pine 674-45 SR02003,5.65,lb,5.65,$150.00,Pinus ponderosa,"Prineville, Oregon",4500,30/68 2020,SilvaSeed Freezer,Ponderosa Pine,PIPO
675,Grand Fir 675-40 SB21085,31.70,lb,31.70,$110.00,Abies grandis,"Camp Sherman, Oregon",4000,44% 2021,SilvaSeed Freezer,Grand Fir,ABGR
675,Ponderosa Pine 675-35 SR21002,0.00,lb,0.00,$150.00,Pinus ponderosa,"Sisters, Oregon",3500,,SilvaSeed Freezer,Ponderosa Pine,PIPO
675,Ponderosa Pine 675-40 SB21185,39.30,lb,39.30,$150.00,Pinus ponderosa,Bend Oregon,4000,98% 2019,SilvaSeed Freezer,Ponderosa Pine,PIPO
675,Ponderosa Pine 675-40 SR05002,135.84,lb,135.84,$150.00,Pinus ponderosa,"Sisters, Oregon",4000,82/93 2017,SilvaSeed Freezer,Ponderosa Pine,PIPO
675,Ponderosa Pine 675-45 SR05003,416.80,lb,416.80,$150.00,Pinus ponderosa,"Sisters, Oregon",4500,87/94 2018,SilvaSeed Freezer,Ponderosa Pine,PIPO
675,Ponderosa Pine 675-45 SR97090,1.25,lb,1.25,$150.00,Pinus ponderosa,"Sisters, Oregon",4500,,SilvaSeed Freezer,Ponderosa Pine,PIPO
675,Subalpine Fir 675-55 SR14041,25.90,lb,25.90,$175.00,Abies lasciocarpa var lasciocarpa,"McKenzie Pass, Oregon",5500,77/48 2019,SilvaSeed Freezer,Subalpine Fir,
675,Subalpine Fir 675-60 SR18036,9.90,lb,9.90,$175.00,Abies lasciocarpa var lasciocarpa,"McKenzie Pass, Oregon",6000,,SilvaSeed Freezer,Subalpine Fir,
681,Grand Fir 681-50 SR11007A,116.15,lb,116.15,$110.00,Abies grandis,"Willamette Pass, Oregon",5000,32/35 2018,SilvaSeed Freezer,Grand Fir,ABGR
681,Lodgepole Pine 681-45 SB21110,43.00,lb,43.00,$0.00,Pinus contorta,"La Pine, Oregon",4500,,SilvaSeed Freezer,Lodgepole Pine,PICO
681,Shasta Red Fir 681-60 SB21101,2.98,lb,2.98,$150.00,Abies magnifica var shastensis,,6000,,SilvaSeed Freezer,Shasta Red Fir,ABMA
681,Sierra Lodgepole Pine 681-45 SB07029,72.55,lb,72.55,$0.00,Pinus contorta var murrayana,"Crescent, Oregon",4500,98/98 9/2017,SilvaSeed Freezer,Sierra Lodgepole Pine,
681,Sugar Pine 681-50 SB21153,21.63,lb,21.63,$225.00,Pinus lambertiana,,5000,70% 2021,SilvaSeed Freezer,Sugar Pine,PILA
682,Lodgepole Pine 682-50 SB21111,17.20,lb,17.20,$0.00,Pinus contorta,"Paulina, Oregon",5000,,SilvaSeed Freezer,Lodgepole Pine,PICO
701,Ponderosa Pine 701-45 SB07031,234.10,lb,234.10,$150.00,Pinus ponderosa,"Fort Klamath, Oregon",4500,94/95 2018,SilvaSeed Freezer,Ponderosa Pine,PIPO
701,Shasta Red Fir 701-55 SB21102,22.36,lb,22.36,$150.00,Abies magnifica var shastensis,E.McLaughlin,5500,23% 2021,SilvaSeed Freezer,Shasta Red Fir,ABMA
701,Shore Pine 701-50 SB10023,11.20,lb,11.20,$0.00,Pinus contorta var murrayana,Klamath Co. Oregon,5000,81/84 2017,SilvaSeed Freezer,Sierra Lodgepole Pine,
701,Sugar Pine 701-45 SR21018,18.80,,18.80,$225.00,Pinus lambertiana,"Klamath Falls, Oregon",4500,,SilvaSeed Freezer,Sugar Pine,PILA
702,Lodgepole Pine 702-45 SB21112,23.97,lb,23.97,$0.00,Pinus contorta,"Kirk, Oregon",4500,,SilvaSeed Freezer,Lodgepole Pine,PICO
720,Ponderosa Pine 720-45 SB07033,13.05,lb,13.05,$150.00,Pinus ponderosa,"Klamath Falls, Oregon",4500,80/90 2020,SilvaSeed Freezer,Ponderosa Pine,PIPO
721,Ponderosa Pine 721-45 SB07032,92.00,lb,92.00,$150.00,Pinus ponderosa,"Grizzly Mountain, Oregon",4500,87/92 2020,SilvaSeed Freezer,Ponderosa Pine,PIPO
721,Shore Pine 721-50 SR89112,3.70,lb,3.70,$0.00,Pinus contorta var murrayana,"Grizzly Mountain, Oregon",5000,95/89 2019,SilvaSeed Freezer,Sierra Lodgepole Pine,
732,Jeffrey Pine 732-47 SB21116,86.93,lb,86.93,$200.00,Pinus jeffreyi,Westwood,4700,99% 2019,SilvaSeed Freezer,Jeffrey Pine,
741,Douglas Fir 741-40 SR21009,14.80,lb,14.80,$225.00,Pseudotsuga menziesii,Mt. Shasta California,4000,,SilvaSeed Freezer,Douglas Fir,PSME
741,Jeffrey Pine 741-35 SB00056,5.60,lb,5.60,$200.00,Pinus jeffreyi,"Mount Shasta, California",3500,,SilvaSeed Freezer,Jeffrey Pine,
741,Jeffrey Pine 741-35 SB21018,10.10,lb,10.10,$200.00,Pinus jeffreyi,"Shasta, California",3500,,SilvaSeed Freezer,Jeffrey Pine,
741,Jeffrey Pine 741-50 SB21019,14.40,lb,14.40,$200.00,Pinus jeffreyi,"Shasta, California",5000,,SilvaSeed Freezer,Jeffrey Pine,
741,Jeffrey Pine 741-60 SB07030,58.00,lb,58.00,$200.00,Pinus jeffreyi,"Mount Shasta, California",6000,69/96 2020,SilvaSeed Freezer,Jeffrey Pine,
741,Ponderosa Pine 741-35 SB21186,137.63,lb,137.63,$150.00,Pinus ponderosa,"McCloud, California",3500,75% 2016,SilvaSeed Freezer,Ponderosa Pine,PIPO
741,Ponderosa Pine 741-40 SB21187,44.71,lb,44.71,$150.00,Pinus ponderosa,"Pilgrim, California",4000,80% 2016,SilvaSeed Freezer,Ponderosa Pine,PIPO
741,Ponderosa Pine 741-40 SB21188,230.06,lb,230.06,$150.00,Pinus ponderosa,"Ash Crk/Old Mtn, California",4000,62% 2016,SilvaSeed Freezer,Ponderosa Pine,PIPO
741,Ponderosa Pine 741-40 SB96002,1.36,lb,1.36,$150.00,Pinus ponderosa,"Tennant, California",4000,,SilvaSeed Freezer,Ponderosa Pine,PIPO
741,Ponderosa Pine 741-50 SR99001,799.30,lb,799.30,$150.00,Pinus ponderosa,"Tennant, California",5000,69/83 2017,SilvaSeed Freezer,Ponderosa Pine,PIPO
741,Shasta Red Fir 741-65 SB21008,26.50,lb,26.50,$150.00,Abies magnifica var shastensis,"Mount Shasta, California",6500,,SilvaSeed Freezer,Shasta Red Fir,ABMA
741,Shasta Red Fir 741-65 SB21086,1.00,lb,1.00,$150.00,Abies magnifica var shastensis,,6500,,SilvaSeed Freezer,Shasta Red Fir,ABMA
741,Shasta Red Fir 741-70 SB21086,146.80,lb,146.80,$150.00,Abies magnifica var shastensis,,7000,30% 2010,SilvaSeed Freezer,Shasta Red Fir,ABMA
742,Ponderosa Pine 742-40 SB96020,3.20,lb,3.20,$150.00,Pinus ponderosa,"Pondosa, California",4000,,SilvaSeed Freezer,Ponderosa Pine,PIPO
742,Ponderosa Pine 742-45 SB96021,11.40,lb,11.40,$150.00,Pinus ponderosa,"Tom Young, California",4500,50/90 2020,SilvaSeed Freezer,Ponderosa Pine,PIPO
751,Ponderosa Pine 751-61 SB21189,70.00,lb,70.00,$150.00,Pinus ponderosa,"Goose Lake, Oregon",6100,,SilvaSeed Freezer,Ponderosa Pine,PIPO
772,Jeffrey Pine 772-63 SB21048,1.60,lb,1.60,$200.00,Pinus jeffreyi,"Truckee, California",6300,,SilvaSeed Freezer,Jeffrey Pine,
772,Jeffrey Pine 772-65 SB21047,13.90,lb,13.90,$200.00,Pinus jeffreyi,"Truckee, California",6500,,SilvaSeed Freezer,Jeffrey Pine,
781,Jeffrey Pine 772-63 SB21117,3.60,lb,3.60,$200.00,Pinus jeffreyi,Westwood,6000,,SilvaSeed Freezer,Jeffrey Pine,
81,Grand Fir 81/82-10 SB21084,25.20,lb,25.20,$110.00,Abies grandis,"Hunter Creek, Oregon",1000,60% 2018,SilvaSeed Freezer,Grand Fir,ABGR
82,Grand Fir 81/82-10 SB21084,25.20,lb,0.00,$110.00,Abies grandis,"Hunter Creek, Oregon",1000,60% 2018,SilvaSeed Freezer,Grand Fir,ABGR
830,Ponderosa Pine 830-30 SB20002,0.61,lb,0.61,$150.00,Pinus ponderosa,"Scoop Mountain, Oregon",3000,96% 2016,SilvaSeed Freezer,Ponderosa Pine,PIPO
863,Subalpine Fir 863-50 SR11006,0.10,lb,0.10,$175.00,Abies lasciocarpa var lasciocarpa,"Tower Mountain, Oregon",5000,,SilvaSeed Freezer,Subalpine Fir,
881,Ponderosa Pine 881-45 SR05009,99.05,lb,99.05,$150.00,Pinus ponderosa,"Medical Springs, Oregon",4500,78/78 2018,SilvaSeed Freezer,Ponderosa Pine,PIPO
882,Ponderosa Pine 882-40 SB21190,57.32,lb,57.32,$150.00,Pinus ponderosa,"Baker, Oregon",4000,56% 2015,SilvaSeed Freezer,Ponderosa Pine,PIPO
882,Ponderosa Pine 882-45 SB21060,50.70,lb,50.70,$150.00,Pinus ponderosa,,4500,,SilvaSeed Freezer,Ponderosa Pine,PIPO
882,Ponderosa Pine 882-45 SB21191,121.67,lb,121.67,$150.00,Pinus ponderosa,"Baker, Oregon",4500,84% 2015,SilvaSeed Freezer,Ponderosa Pine,PIPO
901,Ponderosa Pine 901-25 SB21192,92.29,lb,92.29,$150.00,Pinus ponderosa,"Kimberly, Oregon",2500,74% 2015,SilvaSeed Freezer,Ponderosa Pine,PIPO
922,Ponderosa Pine 922-50 SB07036,50.00,lb,50.00,$150.00,Pinus ponderosa,"John Day, Oregon",5000,90/83 2018,SilvaSeed Freezer,Ponderosa Pine,PIPO
930,Ponderosa Pine 930-50 SB21193,9.58,lb,9.58,$150.00,Pinus ponderosa,"Van, Oregon",5000,93% 2015,SilvaSeed Freezer,Ponderosa Pine,PIPO
930,Ponderosa Pine 930-50 SB21194,80.56,lb,80.56,$150.00,Pinus ponderosa,"Beaver Dam, Oregon",5000,71% 2015,SilvaSeed Freezer,Ponderosa Pine,PIPO
941,Ponderosa Pine 941-50 SB21195,87.06,lb,87.06,$150.00,Pinus ponderosa,"Bear Valley, Oregon",5000,87% 2015,SilvaSeed Freezer,Ponderosa Pine,PIPO
941,Ponderosa Pine 941-50 SB21196,38.10,lb,38.10,$150.00,Pinus ponderosa,"Camp Creek, Oregon",5000,78% 2015,SilvaSeed Freezer,Ponderosa Pine,PIPO
941,Ponderosa Pine 941-55 SB21197,30.22,lb,30.22,$150.00,Pinus ponderosa,"Scotty Creek, Oregon",5500,80% 2021,SilvaSeed Freezer,Ponderosa Pine,PIPO
